Age,Gender,Annual_Income,Occupation,Credit_Score,Family_Size,Car_Ownership,House_Ownership,Education,Marital_Status,Distance_to_Work,Monthly_Expenses,Savings,Preferred_Car_Type,Purchased
56,Male,49241,Doctor,593,5,No,Rent,Bachelor,Married,41,2962,72127,Truck,0
46,Female,116214,Business,576,6,Yes,Own,Bachelor,Married,3,4793,28757,Sedan,1
32,Female,64569,Teacher,737,4,Yes,Rent,High School,Married,33,3894,17226,Hatchback,0
60,Female,31745,Teacher,406,5,No,Own,Master,Married,1,1579,96268,SUV,1
25,Male,46029,Student,719,3,Yes,Rent,PhD,Single,5,3378,62407,Sedan,1
38,Male,33025,Teacher,728,2,No,Own,Master,Married,13,1103,28206,SUV,1
56,Male,121660,Doctor,674,5,Yes,Rent,PhD,Single,19,2085,21256,Truck,1
36,Male,143395,Doctor,372,3,Yes,Own,PhD,Single,12,3557,34822,SUV,1
40,Male,34288,Engineer,329,3,Yes,Rent,Master,Single,48,4485,42340,SUV,0
28,Male,109186,Doctor,487,3,No,Rent,Bachelor,Single,25,1895,53234,Hatchback,1
28,Male,26540,Manager,663,6,Yes,Own,PhD,Single,35,4188,44351,Sedan,1
41,Male,117768,Teacher,750,6,No,Rent,Master,Married,12,1099,49671,SUV,1
53,Female,101958,Doctor,494,3,Yes,Own,High School,Married,30,1013,76320,SUV,1
57,Female,88878,Student,455,6,No,Own,Master,Single,5,1566,36157,Truck,1
41,Male,61846,Engineer,471,4,Yes,Own,High School,Single,34,3386,20937,Truck,0
20,Male,121148,Teacher,340,3,No,Rent,PhD,Married,22,3153,55290,SUV,0
39,Female,95932,Engineer,362,4,No,Rent,Master,Married,39,1588,47707,Sedan,1
19,Male,37482,Teacher,322,4,No,Own,Master,Single,13,4885,12219,SUV,0
41,Male,43411,Student,659,3,No,Own,High School,Married,47,3014,10399,SUV,0
61,Male,70975,Engineer,374,2,No,Rent,Master,Married,3,4469,99848,Hatchback,1
47,Female,80545,Business,417,3,No,Rent,Master,Married,20,3784,28657,Sedan,1
55,Female,132302,Manager,679,3,Yes,Rent,PhD,Single,31,2696,21047,Hatchback,1
19,Female,98797,Manager,589,6,No,Own,Master,Married,5,4683,77095,Sedan,1
38,Female,72307,Teacher,739,3,No,Own,Bachelor,Single,24,1289,86693,Sedan,1
50,Female,23093,Business,306,2,No,Own,High School,Single,40,3975,73154,Sedan,0
29,Male,97258,Engineer,495,6,Yes,Own,Master,Single,33,3653,45891,Hatchback,1
39,Female,42042,Business,720,1,Yes,Own,High School,Single,8,2164,7780,Hatchback,1
61,Male,72930,Business,492,1,Yes,Rent,High School,Single,24,1809,28050,Hatchback,1
42,Male,137584,Engineer,447,4,No,Own,High School,Married,20,1364,74551,Truck,1
44,Female,64413,Student,501,4,Yes,Rent,Master,Single,16,4363,69666,Hatchback,0
59,Female,133387,Business,743,2,Yes,Rent,Master,Single,12,3863,94619,Truck,1
45,Male,113623,Business,718,5,No,Own,High School,Single,13,4024,83016,Truck,1
33,Male,117883,Student,726,1,No,Rent,Bachelor,Married,45,4286,54010,Truck,1
32,Male,53756,Business,778,4,Yes,Own,High School,Married,42,523,39165,SUV,1
64,Female,73268,Business,774,1,No,Rent,Bachelor,Married,39,3503,12528,SUV,1
61,Female,59214,Business,425,2,No,Own,High School,Married,25,810,50608,SUV,1
20,Female,101871,Manager,694,2,No,Own,PhD,Married,46,1731,6914,Truck,1
54,Female,147844,Doctor,624,5,No,Rent,High School,Married,32,4288,38136,Truck,1
24,Female,48602,Student,691,5,Yes,Own,High School,Married,24,3211,12179,Sedan,0
38,Male,73331,Business,739,6,No,Rent,Master,Single,48,921,87008,Truck,1
26,Female,68901,Manager,503,2,Yes,Own,Bachelor,Single,47,2273,13076,SUV,0
56,Male,119986,Student,785,4,Yes,Own,PhD,Married,44,4068,25783,Truck,1
35,Male,83416,Teacher,330,1,Yes,Own,Bachelor,Single,9,1446,47716,Truck,1
21,Male,52196,Teacher,687,3,Yes,Rent,PhD,Single,40,1686,51298,Sedan,1
42,Female,148386,Business,733,5,No,Rent,High School,Married,23,2334,55304,Truck,1
31,Female,25626,Manager,675,3,No,Own,Master,Single,13,2064,80360,Hatchback,1
26,Female,27424,Manager,643,4,No,Rent,Master,Single,32,2447,70835,Sedan,0
43,Male,32857,Student,742,5,Yes,Own,Bachelor,Married,15,1808,9118,Truck,1
19,Male,130459,Student,374,3,Yes,Rent,Master,Single,36,3486,77292,Truck,0
37,Male,135621,Manager,454,4,Yes,Rent,Bachelor,Married,49,886,57911,Sedan,1
45,Male,39982,Student,729,1,No,Own,Bachelor,Married,5,1661,74489,Truck,1
64,Male,96961,Manager,662,4,Yes,Own,PhD,Single,22,3758,16185,SUV,1
24,Male,21980,Doctor,747,6,No,Own,Bachelor,Single,16,4433,42792,Hatchback,1
61,Female,68290,Manager,533,5,No,Own,PhD,Single,41,3347,81210,Hatchback,0
25,Female,46431,Teacher,561,2,No,Own,Master,Married,10,1939,51613,SUV,1
64,Female,104976,Student,424,1,No,Rent,Bachelor,Married,24,3942,34927,Truck,1
52,Female,127288,Manager,544,3,Yes,Rent,Bachelor,Married,18,4980,1386,Truck,0
31,Male,102711,Manager,841,5,No,Own,High School,Single,49,555,93153,Hatchback,1
34,Male,134187,Student,784,2,Yes,Own,Bachelor,Single,18,3824,73728,Truck,1
53,Female,46385,Doctor,421,4,No,Own,Bachelor,Married,7,605,77281,Hatchback,1
57,Male,58158,Doctor,424,2,Yes,Rent,High School,Single,4,3701,31020,Hatchback,0
21,Female,43019,Student,848,5,Yes,Own,High School,Single,26,1169,43678,SUV,1
19,Female,38639,Engineer,469,5,No,Own,Master,Married,5,4971,87695,Hatchback,0
23,Female,105530,Student,423,6,No,Rent,Bachelor,Married,16,1242,62394,Truck,1
59,Male,119911,Student,334,6,No,Rent,Master,Single,35,1466,69945,Truck,1
21,Female,41563,Doctor,386,2,Yes,Rent,Master,Married,26,807,57414,Sedan,0
46,Female,59341,Doctor,500,4,No,Rent,High School,Single,18,2638,55816,Truck,0
35,Female,135672,Student,668,2,No,Own,PhD,Married,29,3964,56918,Sedan,1
43,Male,25776,Student,376,5,Yes,Rent,Master,Married,23,609,92281,Hatchback,0
61,Male,56444,Student,358,5,No,Rent,PhD,Married,14,4132,63694,Truck,0
